date,place_code,place_name,race_no,order_id,created_at,bet_type_code,bet_type_label,pack_deme,pack_votes,vote_amount,hit_amount,henkan_amount,tokubarai_amount
2026-05-01,3,isesaki,11,60037009,2026-05-01T19:51:42+09:00,fns,複勝,2,5,500,700,0,0
2026-05-01,3,isesaki,12,60039126,2026-05-01T20:25:49+09:00,rf3,三連複,6=7=8,3,300,1080,0,0
2026-05-01,3,isesaki,12,60039126,2026-05-01T20:25:49+09:00,rt3,三連単,6-7-8,2,200,1980,0,0
2026-05-01,3,isesaki,4,60026389,2026-05-01T16:15:17+09:00,rt3,三連単,7-3-1,5,500,0,0,0
2026-05-01,3,isesaki,7,60030524,2026-05-01T17:41:08+09:00,fns,複勝,2,5,500,0,0,0
2026-05-01,3,isesaki,8,60031712,2026-05-01T18:11:52+09:00,fns,複勝,6,5,500,500,0,0
2026-05-01,6,sanyou,12,60027471,2026-05-01T16:31:21+09:00,fns,複勝,6,5,500,1950,0,0
2026-05-01,6,sanyou,2,60013207,2026-05-01T11:12:05+09:00,fns,複勝,7,10,1000,1000,0,0
2026-05-01,6,sanyou,5,60016479,2026-05-01T12:40:04+09:00,fns,複勝,2,10,1000,0,0,0
2026-05-01,6,sanyou,8,60019768,2026-05-01T14:11:03+09:00,fns,複勝,7,5,500,500,0,0
2026-05-02,3,isesaki,3,60052776,2026-05-02T15:46:34+09:00,fns,複勝,2,5,500,550,0,0
2026-05-02,3,isesaki,4,60054412,2026-05-02T16:14:58+09:00,fns,複勝,3,5,500,0,0,0
2026-05-02,3,isesaki,5,60057074,2026-05-02T16:42:48+09:00,fns,複勝,7,5,500,0,0,0
2026-05-02,6,sanyou,10,60050877,2026-05-02T15:15:44+09:00,fns,複勝,7,5,500,600,0,0
2026-05-02,6,sanyou,5,60044017,2026-05-02T12:37:44+09:00,fns,複勝,7,5,500,500,0,0
2026-05-03,2,kawaguchi,10,60082587,2026-05-03T15:14:08+09:00,fns,複勝,6,2,200,240,0,0
2026-05-03,2,kawaguchi,9,60081004,2026-05-03T14:41:51+09:00,fns,複勝,7,5,500,500,0,0
2026-05-04,2,kawaguchi,6,60111307,2026-05-04T13:10:01+09:00,fns,複勝,6,1,100,130,0,0
2026-05-04,2,kawaguchi,7,60112583,2026-05-04T13:39:32+09:00,fns,複勝,5,3,300,930,0,0
2026-05-04,5,iizuka,1,60117895,2026-05-04T15:20:26+09:00,fns,複勝,7,2,200,540,0,0
2026-05-04,5,iizuka,2,60119688,2026-05-04T15:46:23+09:00,fns,複勝,4,2,200,240,0,0
2026-05-04,5,iizuka,3,60121166,2026-05-04T16:11:32+09:00,fns,複勝,6,3,300,0,0,0
2026-05-04,5,iizuka,4,60123538,2026-05-04T16:38:14+09:00,fns,複勝,5,2,200,260,0,0
